Time (s),Voltage (V)
-1.3921999999999829e-05,0.0
-1.3921874999999828e-05,0.0
-1.3921749999999828e-05,0.0
-1.3921624999999828e-05,0.0
-1.3921499999999828e-05,0.0
-1.3921374999999827e-05,0.0
-1.3921249999999827e-05,0.0
-1.3921124999999827e-05,0.0
-1.3920999999999827e-05,0.0
-1.3920874999999826e-05,0.0
-1.3920749999999826e-05,0.0
-1.3920624999999826e-05,0.0
-1.3920499999999825e-05,0.0
-1.3920374999999825e-05,0.0
-1.3920249999999825e-05,0.0
-1.3920124999999825e-05,0.0
-1.3919999999999824e-05,0.0
-1.3919874999999824e-05,0.0
-1.3919749999999824e-05,0.0
-1.3919624999999824e-05,0.0
-1.3919499999999823e-05,0.0
-1.3919374999999823e-05,0.0
-1.3919249999999823e-05,0.0
-1.3919124999999822e-05,0.0
-1.3918999999999822e-05,0.0
-1.3918874999999822e-05,0.0
-1.3918749999999822e-05,0.0
-1.3918624999999821e-05,0.0
-1.3918499999999821e-05,0.0
-1.391837499999982e-05,0.0
-1.391824999999982e-05,0.0
-1.391812499999982e-05,0.0
-1.391799999999982e-05,0.0
-1.391787499999982e-05,0.0
-1.391774999999982e-05,0.0
-1.391762499999982e-05,0.0
-1.3917499999999819e-05,0.0
-1.3917374999999819e-05,0.0
-1.3917249999999818e-05,0.0
-1.3917124999999818e-05,0.0
-1.3916999999999818e-05,0.0
-1.3916874999999818e-05,0.0
-1.3916749999999817e-05,0.0
-1.3916624999999817e-05,0.0
-1.3916499999999817e-05,0.0
-1.3916374999999816e-05,0.0
-1.3916249999999816e-05,0.0
-1.3916124999999816e-05,0.0
-1.3915999999999816e-05,0.0
-1.3915874999999815e-05,0.0
-1.3915749999999815e-05,0.0
-1.3915624999999815e-05,0.0
-1.3915499999999815e-05,0.0
-1.3915374999999814e-05,0.0
-1.3915249999999814e-05,0.0
-1.3915124999999814e-05,0.0
-1.3914999999999813e-05,0.0
-1.3914874999999813e-05,0.0
-1.3914749999999813e-05,0.0
-1.3914624999999813e-05,0.0
-1.3914499999999812e-05,0.0
-1.3914374999999812e-05,0.0
-1.3914249999999812e-05,0.0
-1.3914124999999811e-05,0.0
-1.3913999999999811e-05,0.0
-1.3913874999999811e-05,0.0
-1.391374999999981e-05,0.0
-1.391362499999981e-05,0.0
-1.391349999999981e-05,0.0
-1.391337499999981e-05,0.0
-1.391324999999981e-05,0.0
-1.391312499999981e-05,0.0
-1.3912999999999809e-05,0.0
-1.3912874999999809e-05,0.0
-1.3912749999999808e-05,0.0
-1.3912624999999808e-05,0.0
-1.3912499999999808e-05,0.0
-1.3912374999999808e-05,0.0
-1.3912249999999807e-05,0.0
-1.3912124999999807e-05,0.0
-1.3911999999999807e-05,0.0
-1.3911874999999807e-05,0.0
-1.3911749999999806e-05,0.0
-1.3911624999999806e-05,0.0
-1.3911499999999806e-05,0.0
-1.3911374999999805e-05,0.0
-1.3911249999999805e-05,0.0
-1.3911124999999805e-05,0.0
-1.3910999999999805e-05,0.0
-1.3910874999999804e-05,0.0
